Titanic Passengers and Crew Complete List,,,,,,,,,,,,,,,
Name,Born,Died,Age,Gender,Class/Dept,Ticket,Fare,Cabin,Joined,Occupation,Survived?,Boat,Body,Nationality,URL
"DAVIDSON, Mr Thornton",1880,1912,31,Male,1st Class Passenger,12750,£52.00,B71,Cherbourg,,LOST,,,Canadian,https://www.encyclopedia-titanica.org/titanic-victim/thornton-davidson.html
"DAVIDSON, Mrs Orian",1884,1979,27,Female,1st Class Passenger,12750,£52.00,B71,Cherbourg,,SAVED,3,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/orian-davidson.html
"DAVIES, Master John Morgan jr",1903,1951,8,Male,2nd Class Passenger,33112,£36             15s,,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-morgan-davies.html
"DAVIES, Miss K.",,,,Female,2nd Class Passenger Cross Channel Passenger,406,£2.00,,Southampton,,,,,,https://www.encyclopedia-titanica.org/titanic-biography/k-davies.html
"DAVIES, Mr Alfred James",1888,1912,24,Male,3rd Class Passenger,48871,£24             3s,,Southampton,Caster,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-davies.html
"DAVIES, Mr Charles Henry",1893,1912,19,Male,2nd Class Passenger,14879,£73             10s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-henry-davies.html
"DAVIES, Mr Evan Lewis",1890,1912,22,Male,3rd Class Passenger,23568,£8             1s,,Southampton,Miner,LOST,,,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/evan-davies.html
"DAVIES, Mr Gordon Raleigh",1879,1912,32,Male,Victualling Crew,,,,Belfast,1st Class Bedroom Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/gordon-raleigh-davies.html
"DAVIES, Mr H. V.",,,,Male,2nd Class Passenger Cross Channel Passenger,406,£2.00,,Southampton,,,,,,https://www.encyclopedia-titanica.org/titanic-biography/h-davies.html
"DAVIES, Mr John",1890,1912,22,Male,3rd Class Passenger,48871,£24             3s,,Southampton,Ironworker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/john-davies.html
"DAVIES, Mr Joseph",1895,1912,17,Male,3rd Class Passenger,48873,£8             1s,,Southampton,Ironworker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-davies.html
"DAVIES, Mr Robert J.",1886,1912,26,Male,Victualling Crew,,,,Belfast,Saloon Steward,LOST,,191,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/robert-davies.html
"DAVIES, Mr Thomas",1879,1912,33,Male,Engineering Crew,,,,Southampton,Leading Fireman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-davies.html
"DAVIES, Mrs Agnes",1863,1933,48,Female,2nd Class Passenger,33112,£36             15s,,Southampton,,SAVED,14,,English,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-agnes-mary-davies.html
"DAVIS, Miss Mary Ann Charlotte",1883,1987,28,Female,2nd Class Passenger,237668,£13.00,,Southampton,,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/mary-davis.html
"DAVIS, Mr John",1884,1912,27,Male,Victualling Crew,,,,Belfast,Extra 2nd Baker,LOST,,200,English,https://www.encyclopedia-titanica.org/titanic-victim/john-davis.html
"DAVIS, Mr Stephen James",1873,1912,39,Male,Deck Crew,,,,Southampton,Able Seaman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/stephen-james-davis.html
"DAVISON, Mr Thomas Henry",1880,1912,32,Male,3rd Class Passenger,386525,£16             2s,,Southampton,Blacksmith,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/thomas-henry-davison.html
"DAVISON, Mrs Mary Elizabeth",1878,1939,34,Female,3rd Class Passenger,386525,£16             2s,,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/mary-davison.html
"DAWES, Mr W. W.",1874,,38,Male,Victualling Crew Discharged Crew,,,,Southampton,First Class Saloon Steward,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/dawes.html
"DAWKINS, Mr P.",1888,,24,Male,Victualling Crew Failed to Join Ship,,,,Southampton,Assistant Cook,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/dawkins-p.html
"DAWSON, Mr Joseph",1888,1912,23,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,227,Irish,https://www.encyclopedia-titanica.org/titanic-victim/joseph-dawson.html
"DE GRASSE, Mr J.",,,,Male,2nd Class Passenger Cross Channel Passenger,761,£1.00,,Southampton,,,,,,https://www.encyclopedia-titanica.org/titanic-biography/j-de-grasse.html
"DE MARSICO, Sig. Govanni",1892,1912,20,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,,Italian,https://www.encyclopedia-titanica.org/titanic-victim/govanni-de-marsico.html
"DE MESSEMAEKER, Mr Guillaume Joseph",1875,1955,36,Male,3rd Class Passenger,345572,£17             8s,,Southampton,,SAVED,15,,Belgian,https://www.encyclopedia-titanica.org/titanic-survivor/guillaume-de-messemaeker.html
"DE MESSEMAEKER, Mrs Anna",1875,1918,36,Female,3rd Class Passenger,345572,£17             8s,,Southampton,,SAVED,13,,Belgian,https://www.encyclopedia-titanica.org/titanic-survivor/anna-de-messemaeker.html
"DE MULDER, Mr Theodoor",1881,1954,30,Male,3rd Class Passenger,345774,£9             10s,,Southampton,,SAVED,,,Belgian,https://www.encyclopedia-titanica.org/titanic-survivor/theodoor-de-mulder.html
"DE PELSMAEKER, Mr Alfons",1895,1912,16,Male,3rd Class Passenger,345778,£9             10s,,Southampton,Farm Labourer,LOST,,,Belgian,https://www.encyclopedia-titanica.org/titanic-victim/alfons-de-pelsmaeker.html
"DEACON, Mr Percy William",1894,1912,17,Male,2nd Class Passenger,14879,£73             10s,,Southampton,Baker,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/percy-deacon.html
"DEAN, Master Bertram Vere",1910,1992,1,Male,3rd Class Passenger,2315,£20             11s             6d,,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/bertram-vere-dean.html
"DEAN, Miss Elizabeth Gladys Millvina",1912,2009,2m,Female,3rd Class Passenger,2315,£20             11s             6d,,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/millvina-dean.html
"DEAN, Mr Bertram Frank",1886,1912,25,Male,3rd Class Passenger,2315,£20             11s             6d,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/bertram-frank-dean.html
"DEAN, Mr George Fox Hopkins",1892,1912,19,Male,Victualling Crew,,,,Southampton,Assistant Saloon Steward,LOST,,252,English,https://www.encyclopedia-titanica.org/titanic-victim/george-dean.html
"DEAN, Mrs Eva Georgetta",1879,1975,32,Female,3rd Class Passenger,2315,£20             11s             6d,,Southampton,,SAVED,10,,English,https://www.encyclopedia-titanica.org/titanic-survivor/eva-georgetta-dean.html
"DEBREUCQ, Mr Maurice Emile Victor",1894,1912,18,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,244,French,https://www.encyclopedia-titanica.org/titanic-victim/maurice-emile-victor-debreucq.html
"DECKER, Mr Charles",1865,1955,47,Male,Engineering Crew,,,,Belfast,Fireman,,,,"German, Irish",https://www.encyclopedia-titanica.org/titanic-biography/charles-decker.html
"DEEBLE, Mr Alfred Arnold",1877,1912,34,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,270,English,https://www.encyclopedia-titanica.org/titanic-victim/alfred-arnold-deeble.html
"DEL CARLO, Mr Sebastiano",1883,1912,29,Male,2nd Class Passenger,2167,£27             14s             5d,,Cherbourg,,LOST,,295,Italian,https://www.encyclopedia-titanica.org/titanic-victim/sebastiano-del-carlo.html
"DEL CARLO, Mrs Argene",1887,1970,24,Female,2nd Class Passenger,2167,£27             14s             5d,,Cherbourg,,SAVED,,,Italian,https://www.encyclopedia-titanica.org/titanic-survivor/argene-del-carlo.html
"DELALIć, Mr Redžo",1887,1912,25,Male,3rd Class Passenger,349250,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bosnian,https://www.encyclopedia-titanica.org/titanic-victim/redjo-delalic.html
"DENBUOY, Mr Albert Joseph",1886,1912,25,Male,2nd Class Passenger,31029,£31             10s,,Southampton,Fruit Farmer,LOST,,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-victim/albert-denbuoy.html
"DENKOV, Mr Mityu",1882,1912,30,Male,3rd Class Passenger,349225,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/mityu-denkov.html
"DENMIGAN, Mr Charles",1870,,42,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/charles-denmigan.html
"DENNIS, Mr Samuel",1889,1912,22,Male,3rd Class Passenger,21172,£7             5s,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/samuel-dennis.html
"DENNIS, Mr William",1886,1912,26,Male,3rd Class Passenger,21175,£7             5s,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-dennis.html
"DENOV, Mr Yoto",1885,1912,27,Male,3rd Class Passenger,349219,£7             17s             11d,,Southampton,General Labourer,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/yoto-danoff.html
"DENVER, Mr John",1877,,34,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/john-denver.html
"DERRETT, Mr Arthur Henry",1883,1912,28,Male,Victualling Crew,,,,Belfast,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/albert-derrett.html
"DESLANDES, Mr Percival Stainer",1874,1912,38,Male,Victualling Crew,,,,Southampton,Saloon Steward,LOST,,212,English,https://www.encyclopedia-titanica.org/titanic-victim/percival-stainer-deslandes.html
"DESVERNINE, Mr Louis Gabriel",1891,1912,20,Male,Restaurant Staff,,,,Southampton,Assistant Pastry Cook,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/louis-gabriel-desvernine.html
"DEVANEY, Miss Margaret Bedelia",1891,1974,20,Female,3rd Class Passenger,330958,£7             17s             7d,,Queenstown,,SAVED,,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/margaret-devaney.html
"DI NAPOLI, Mr E.",1888,,24,Male,Restaurant Staff Failed to Join Ship,,,,Southampton,Assistant Waiter,,,,Italian,https://www.encyclopedia-titanica.org/titanic-biography/di-napoli-e.html
"DIAPER, Mr John Joseph",1885,1955,27,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/j-diaper.html
"DIBDEN, Mr William",1893,1912,18,Male,2nd Class Passenger,14879,£73             10s,,Southampton,General Labourer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-dibden.html
"DICK, Mr Albert Adrian",1880,1970,31,Male,1st Class Passenger,17474,£57.00,B20,Southampton,,SAVED,3,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/albert-adrian-dick.html
"DICK, Mrs Vera",1894,1973,17,Female,1st Class Passenger,17474,£57.00,B20,Southampton,,SAVED,3,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/vera-dick.html
"DICKSON, Mr William",1875,1912,37,Male,Engineering Crew Substitute Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-dickson.html
"DIKA, Mr Mirko",1895,1912,17,Male,3rd Class Passenger,349232,£7             17s             11d,,Southampton,,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/mirko-dika.html
"DILLON, Mr Thomas Patrick",1879,1939,33,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,4,,English,https://www.encyclopedia-titanica.org/titanic-survivor/thomas-patrick-dillon.html
"DIMIć, Mr Jovan",1870,1912,42,Male,3rd Class Passenger,315088,£8             13s             3d,,Southampton,,LOST,,,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/jovan-dimic.html
"DINCHEV, Mr Vulcho",1869,1912,43,Male,3rd Class Passenger,349226,£7             17s             11d,,Southampton,,LOST,,,Bulgarian,https://www.encyclopedia-titanica.org/titanic-victim/vulcho-dinchev.html
"DINENAGE, Mr James Richard",1863,1912,49,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-richard-dinenage.html
"DODD, Mr Edward Charles",1873,1912,39,Male,Engineering Crew,,,,Belfast,Junior 3rd. Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/edward-charles-dodd.html
"DODD, Mr George Charles",1867,1912,44,Male,Victualling Crew,,,,Belfast,"Second Steward, 1st Class",LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-charles-dodd.html
"DODDS, Mr Henry Watson",1885,1912,26,Male,Engineering Crew Substitute Crew,,,,Southampton,Junior Assistant 4th Engineer,LOST,,,Guyanese,https://www.encyclopedia-titanica.org/titanic-victim/henry-watson-dodds.html
"DODGE, Dr Washington",1859,1919,52,Male,1st Class Passenger,33638,£81             17s             2d,A34,Southampton,Politician,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge.html
"DODGE, Master Washington",1907,1974,4,Male,1st Class Passenger,33638,£81             17s             2d,A34,Southampton,,SAVED,5,,American,https://www.encyclopedia-titanica.org/titanic-survivor/washington-dodge-jr.html
"DODGE, Mrs Ruth",1874,1950,38,Female,1st Class Passenger,33638,£81             17s             2d,A34,Southampton,,SAVED,5,,American,https://www.encyclopedia-titanica.org/titanic-survivor/ruth-dodge.html
"DOEL, Mr Frederick",1889,1940,22,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frederick-doel.html
"DOHERTY, Mr William John",1889,1912,22,Male,3rd Class Passenger,330877,£8             9s             2d,,Queenstown,,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/william-john-dougherty.html
"DOLBY, Mr Joseph",1873,1912,38,Male,Victualling Crew,,,,Belfast,Reception Steward (1st Class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/joseph-dolby.html
"DOLING, Miss Elsie",1893,1972,18,Female,2nd Class Passenger,231919,£23.00,,Southampton,,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/elsie-doling.html
"DOLING, Mrs Ada Julia Elizabeth",1877,1962,34,Female,2nd Class Passenger,231919,£23.00,,Southampton,,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/ada-doling.html
"DONATI, Sig. Italo Francesco",1894,1912,17,Male,Restaurant Staff,,,,Southampton,Assistant Waiter,LOST,,311,Italian,https://www.encyclopedia-titanica.org/titanic-victim/italo-francesco-donati.html
"DONOGHUE, Mr Florence Thomas",1880,1912,31,Male,Victualling Crew,,,,Belfast,Bed Room Steward,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/frank-thomas-donoghue.html
"DONOHOE, Miss Bridget",1891,1912,21,Female,3rd Class Passenger,364856,£7             15s,,Queenstown,,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/bridget-donohoe.html
"DONOHOE, Mr Hugh Moses",1874,,37,Male,Deck Crew,,,,Belfast,Able Seaman,,,,,https://www.encyclopedia-titanica.org/titanic-biography/hugh-donohoe.html
"DOOLEY, Mr Patrick",1875,1912,37,Male,3rd Class Passenger,370376,£7             15s,,Queenstown,General Labourer,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/patrick-dooley.html
"DORE, Mr Albert James",1889,1953,22,Male,Engineering Crew,,,,Southampton,Trimmer,SAVED,,,English,https://www.encyclopedia-titanica.org/titanic-survivor/a-dore.html
"DORKINGS, Mr Edward Arthur",1893,1954,18,Male,3rd Class Passenger,10482,£8             1s,,Southampton,Groom,SAVED,B,,English,https://www.encyclopedia-titanica.org/titanic-survivor/edward-arthur-dorking.html
"DORNIER, Mr Louis Auguste",1891,1912,20,Male,Restaurant Staff,,,,Southampton,Assistant Fish Cook,LOST,,,French,https://www.encyclopedia-titanica.org/titanic-victim/louis-auguste-dornier.html
"DOUGHTY, Mr Walter Thomas",1890,1912,22,Male,Victualling Crew,,,,Southampton,Saloon Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-doughty.html
"DOUGLAS, Mr Walter Donald",1861,1912,50,Male,1st Class Passenger,17761,£106             8s             6d,C86,Cherbourg,,LOST,,62,American,https://www.encyclopedia-titanica.org/titanic-victim/walter-donald-douglas.html
"DOUGLAS, Mr William",1879,,32,Male,Deck Crew,,,,Belfast,Able Seaman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/william-douglas.html
"DOUGLAS, Mrs Mahala",1864,1945,48,Female,1st Class Passenger,17761,£106             8s             6d,C86,Cherbourg,,SAVED,2,,American,https://www.encyclopedia-titanica.org/titanic-survivor/mahala-douglas.html
"DOUGLAS, Mrs Mary Hélène",1885,1954,27,Female,1st Class Passenger,17558,£247             10s             5d,B58/60,Cherbourg,,SAVED,6,,Canadian,https://www.encyclopedia-titanica.org/titanic-survivor/mary-helene-douglas.html
"DOUTON, Mr William Joseph",1856,1912,55,Male,2nd Class Passenger,28403,£26.00,,Southampton,Quarryman,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-joseph-douton.html
"DOWDELL, Miss Elizabeth",1880,1962,31,Female,3rd Class Passenger,364516,£12             9s             6d,,Southampton,Housekeeper,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/elizabeth-dowdell.html
"DOYLE, Miss Elizabeth",1884,1912,28,Female,3rd Class Passenger,368702,£7             15s,,Queenstown,,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/elizabeth-doyle.html
"DOYLE, Mr Laurence",1885,1912,27,Male,Engineering Crew,,,,Southampton,Fireman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/laurence-doyle.html
"DRAžENOVIć, Mr Jozef",1879,1912,33,Male,3rd Class Passenger,349241,£7             17s             11d,,Cherbourg,General Labourer,LOST,,51,Croatian,https://www.encyclopedia-titanica.org/titanic-victim/jozef-drazenovic.html
"DREW, Master Marshall Brines",1904,1986,8,Male,2nd Class Passenger,28220,£32             10s,,Southampton,,SAVED,,,American,https://www.encyclopedia-titanica.org/titanic-survivor/marshall-brines-drew.html
"DREW, Mr James Vivian",1869,1912,42,Male,2nd Class Passenger,28220,£32             10s,,Southampton,,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/james-vivian-drew.html
"DREW, Mrs Maria Louisa Thorne",1878,1970,34,Female,2nd Class Passenger,28220,£32             10s,,Southampton,,SAVED,,,American,https://www.encyclopedia-titanica.org/titanic-survivor/lulu-thorne-drew.html
"DRISCOLL, Miss Bridget",1885,1976,27,Female,3rd Class Passenger,14311,£7             15s,,Queenstown,,SAVED,,,Irish,https://www.encyclopedia-titanica.org/titanic-survivor/bridget-driscoll.html
"DROPKIN, Miss Jennie",1887,1951,24,Female,3rd Class Passenger,392083,£8             1s,,Southampton,Box Maker,SAVED,,,Russian,https://www.encyclopedia-titanica.org/titanic-survivor/jennie-dropkin.html
"DUFF GORDON,  Lucy Christiana, Lady",1863,1935,48,Female,1st Class Passenger,17485,£56             18s             7d,A20,Cherbourg,Dressmaker / Couturiere,SAVED,1,,English,https://www.encyclopedia-titanica.org/titanic-survivor/lady-duff-gordon.html
"DUFF GORDON, Sir Cosmo Edmund",1862,1931,49,Male,1st Class Passenger,11755,£39             12s,A16,Cherbourg,Landowner,SAVED,1,,English,https://www.encyclopedia-titanica.org/titanic-survivor/sir-cosmo-duff-gordon.html
"DUFFY, Mr William Luke",1875,1912,36,Male,Engineering Crew,,,,Belfast,Writer / Engineer's Clerk,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/william-luke-duffy.html
"DULLES, Mr William Crothers",1872,1912,39,Male,1st Class Passenger,17580,£29             14s,A18,Cherbourg,,LOST,,133,American,https://www.encyclopedia-titanica.org/titanic-victim/william-crothers-dulles.html
"DUNFORD, Mr William",1864,1912,48,Male,Victualling Crew,,,,Southampton,Hospital Steward,LOST,,71,English,https://www.encyclopedia-titanica.org/titanic-victim/william-dunford.html
"DUNLOP, Mr Joseph",1865,,47,Male,Engineering Crew,,,,Belfast,Fireman,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/joseph-dunlop.html
"DUQUEMIN, Mr Joseph Pierre",1887,1950,24,Male,3rd Class Passenger,752,£7             11s,,Southampton,Mason,SAVED,D,,Channel Islander,https://www.encyclopedia-titanica.org/titanic-survivor/joseph-pierre-duquemin.html
"DURáN I MONé, Miss Asuncion",1885,,27,Female,2nd Class Passenger,2149,£13             17s             2d,,Cherbourg,,SAVED,12,,Spanish,https://www.encyclopedia-titanica.org/titanic-survivor/asuncion-duran-y-more.html
"DURáN I MONé, Miss Florentina",1882,1959,30,Female,2nd Class Passenger,2148,£13             17s             2d,,Cherbourg,,SAVED,12,,Spanish,https://www.encyclopedia-titanica.org/titanic-survivor/florentina-duran-y-more.html
"DWAN, Mr Frank",1847,1912,65,Male,3rd Class Passenger,336439,£7             15s,,Queenstown,Fisherman,LOST,,,Irish,https://www.encyclopedia-titanica.org/titanic-victim/frank-dwan.html
"DYER EDWARDES, Mr Thomas",1847,1926,65,Male,1st Class Passenger Cross Channel Passenger,87,£3.00,,Southampton,,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/thomas-dyer-edwardes.html
"DYER EDWARDES, Mrs Clementina Georgina Lucy Drummond",1859,1947,53,Female,1st Class Passenger Cross Channel Passenger,87,£3.00,,Southampton,,,,,English,https://www.encyclopedia-titanica.org/titanic-biography/clementina-georgina-lucy-dyer-edwardes.html
"DYER, Mr Henry Ryland",1887,1912,24,Male,Engineering Crew,,,,Belfast,Senior Assistant 4th. Engineer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/henry-ryland-dyer.html
"DYER, Mr William Henry",1879,1912,33,Male,Victualling Crew,,,,Southampton,Saloon Steward (1st class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-henry-dyer.html
"DYKER, Mr Adolf Fredrik",1888,1912,23,Male,3rd Class Passenger,347072,£13             18s,,Southampton,General Labourer,LOST,,,"Swedish, American",https://www.encyclopedia-titanica.org/titanic-victim/adolf-fredrik-dyker.html
"DYKER, Mrs Anna Elisabeth Judith",1889,1961,22,Female,3rd Class Passenger,347072,£13             18s,,Southampton,Singer,SAVED,,,American,https://www.encyclopedia-titanica.org/titanic-survivor/anna-elisabeth-judith-dyker.html
"DYMOND, Mr Frank",1876,1947,36,Male,Engineering Crew,,,,Southampton,Fireman,SAVED,15,,English,https://www.encyclopedia-titanica.org/titanic-survivor/frank-dymond.html
"DāHIR, Mr Ṭannūs",1884,1912,28,Male,3rd Class Passenger,2686,£7             4s             7d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/tannous-daher.html
"DīBū, Mr Ilyās",1883,1912,29,Male,3rd Class Passenger,2674,£7             4s             6d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/dibo-elias.html
"EAGLE, Mr Alfred James Jacob",1884,1912,27,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/a-eagle.html
"EARNSHAW, Mrs Olive",1888,1958,23,Female,1st Class Passenger,11767,£83             3s             2d,C54,Cherbourg,Of Independent Means,SAVED,7,,American,https://www.encyclopedia-titanica.org/titanic-survivor/olive-earnshaw.html
"EASTMAN, Mr Charles",1868,1912,44,Male,Engineering Crew,,,,Southampton,Greaser,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/charles-eastman.html
"EDBROOKE, Mr Francis Samuel Jacob",1888,1912,23,Male,Victualling Crew,,,,Southampton,Third class steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/f-edbrooke.html
"EDE, Mr George Bulkeley",1889,1912,23,Male,Victualling Crew,,,,Southampton,3rd Class Steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/george-ede.html
"EDGE, Mr Frederick William",1873,1912,39,Male,Victualling Crew,,,,Southampton,Deck Steward (2nd class),LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/frederick-william-edge.html
"EDVARDSSON, Mr Gustaf Hjalmar",1893,1912,18,Male,3rd Class Passenger,349912,£7             15s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/gustaf-hjalmar-edvardsson.html
"EDWARDS, Mr Charles Essex",1862,1912,49,Male,Victualling Crew,,,,Southampton,Assistant Pantryman Steward (1st Class),LOST,,,Welsh,https://www.encyclopedia-titanica.org/titanic-victim/charles-essex-edwards.html
"EGG, Mr William Henry",1864,1912,48,Male,Victualling Crew,,,,Southampton,Third class steward,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/w-egg.html
"EITEMILLER, Mr George Floyd",1886,1912,25,Male,2nd Class Passenger,29751,£13.00,,Southampton,,LOST,,,American,https://www.encyclopedia-titanica.org/titanic-victim/george-floyd-eitemiller.html
"EKLUND, Mr Hans Linus",1895,1912,16,Male,3rd Class Passenger,347074,£7             15s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/hans-linus-eklund.html
"EKSTRöM, Mr Johan",1866,1912,45,Male,3rd Class Passenger,347061,£6             19s             6d,,Southampton,General Labourer,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/johan-ekstrom.html
"ELIAS NASRALLAH, Mr Tannous",1890,1912,22,Male,3rd Class Passenger,2695,£7             4s             7d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/tannous-elias-nasrallah.html
"ELIAS, Mr Joseph",1873,1912,39,Male,3rd Class Passenger,2675,£7             4s             7d,,Cherbourg,,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/elias-joseph-shahin.html
"ELIAS, Mr Joseph jr.",1897,1912,15,Male,3rd Class Passenger,2690,£7             4s             7d,,Cherbourg,General Labourer,LOST,,,Syrian,https://www.encyclopedia-titanica.org/titanic-victim/joseph-elias.html
"ELLIOTT, Mr Everett Edward",1888,1912,23,Male,Engineering Crew,,,,Southampton,Trimmer,LOST,,317,English,https://www.encyclopedia-titanica.org/titanic-victim/everett-edward-elliott.html
"ELLIS, Mr John Bertie",1883,1932,28,Male,Victualling Crew,,,,Southampton,Assistant Vegetable Cook,SAVED,2,,English,https://www.encyclopedia-titanica.org/titanic-survivor/john-bertram-ellis.html
"ELLISON, Mr Joseph",1883,1945,29,Male,Engineering Crew,,,,Belfast,Trimmer,,,,Irish,https://www.encyclopedia-titanica.org/titanic-biography/joseph-ellison.html
"ELSBURY, Mr William James",1863,1912,48,Male,3rd Class Passenger,3902,£7             5s,,Southampton,Farmer,LOST,,,English,https://www.encyclopedia-titanica.org/titanic-victim/william-james-elsbury.html
"EMANUEL, Miss Virginia Ethel",1905,,6,Female,3rd Class Passenger,364516,£12             9s             6d,,Southampton,,SAVED,13,,American,https://www.encyclopedia-titanica.org/titanic-survivor/virginia-ethel-emanuel.html
"ENANDER, Mr Ingvar",1890,1912,21,Male,2nd Class Passenger,236854,£13.00,,Southampton,,LOST,,,Swedish,https://www.encyclopedia-titanica.org/titanic-victim/ingvar-enander.html
"ENDRES, Miss Caroline Louise",1872,1964,39,Female,1st Class Passenger Servant,17757,£247             10s             6d,C45,Cherbourg,Nurse,SAVED,4,,American,https://www.encyclopedia-titanica.org/titanic-survivor/caroline-endres.html
